,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Coolum Beach,AU,57.0,clear sky,-26.53,153.1,Coolum Beach Resort
102,Hobyo,SO,85.42,overcast clouds,5.35,48.53,
104,Souillac,MU,78.01,broken clouds,-20.52,57.52,Bils' Villa
105,Avarua,CK,80.6,few clouds,-21.21,-159.78,Paradise Inn
106,Moron,AR,81.0,clear sky,-34.65,-58.62,Hotel Morón
108,Saint George,US,70.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
110,Dire Dawa,ET,72.39,scattered clouds,9.59,41.87,Samrat Hotel
116,Valparaiso,CL,82.4,clear sky,-33.04,-71.63,Hotel Ultramar
117,Busselton,AU,55.99,overcast clouds,-33.65,115.33,Observatory Guest House
118,Luderitz,,64.4,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
120,Russell,US,55.4,thunderstorm,32.35,-85.2,Macs
121,Mar Del Plata,AR,77.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
123,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
124,Cabo San Lucas,MX,75.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
125,Lillers,FR,55.99,broken clouds,50.56,2.48,Castle Philiomel
126,Bengkulu,ID,78.82,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
129,West Wendover,US,59.0,overcast clouds,40.74,-114.07,Motel 6 Wendover
130,Sandur,IN,86.76,scattered clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, HAMPI"
132,Puerto Baquerizo Moreno,EC,77.81,few clouds,-0.9,-89.6,Hotel los Algarrobos
133,Samarai,PG,79.99,clear sky,-10.62,150.67,Nuli Sapi
135,Broome,US,57.99,light rain,42.25,-75.83,Chenango Valley State Park
136,Marawi,PH,67.96,broken clouds,8.0,124.29,Derogongan Residence
137,Carnarvon,AU,73.4,scattered clouds,-24.87,113.63,Hospitality Carnarvon
138,Tual,ID,83.89,broken clouds,-5.67,132.75,Grand Vilia Hotel
139,Castro,BR,73.99,clear sky,-24.79,-50.01,CHACARA BAILLY
141,Shelburne,CA,57.2,scattered clouds,44.08,-80.2,The Retreat at the Farm
143,Lima,PE,78.8,clear sky,-12.04,-77.03,Gran Hotel Bolivar Lima
144,Hervey Bay,AU,68.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
145,Ancud,CL,53.6,broken clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
146,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
148,Aborlan,PH,82.4,few clouds,9.44,118.55,Kevina Transient House
149,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
150,Fasa,IR,62.6,overcast clouds,28.94,53.65,Fasa University Boys' Dormitory
152,Iralaya,HN,89.6,scattered clouds,15.0,-83.23,Iglesia morava renovada
153,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
155,San Quintin,MX,63.99,overcast clouds,30.48,-115.95,Old Mill Hotel
156,Sampit,ID,75.07,broken clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
157,Seoul,KR,50.0,overcast clouds,37.57,126.98,Lotte Hotel Seoul
159,Ribeira Grande,PT,60.8,few clouds,38.52,-28.7,Quinta da Meia Eira
160,Galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
161,Roswell,US,59.0,overcast clouds,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
