City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Vostok,RU,2020-04-16 04:10:33,46.49,135.88,48.2,36,0,5.3
221,Ust-Koksa,RU,2020-04-16 04:10:33,50.27,85.61,38.37,49,60,3.02
222,Zhaotong,CN,2020-04-16 04:10:34,27.32,103.72,70.77,22,10,1.45
223,Salisbury,GB,2020-04-16 04:10:34,51.07,-1.8,44.01,75,7,9.17
224,Atar,MR,2020-04-16 04:10:34,20.52,-13.05,69.04,22,73,3.42
225,Hofn,IS,2020-04-16 04:10:34,64.25,-15.21,34.93,80,13,7.38
226,Kavarskas,LT,2020-04-16 04:10:35,55.43,24.92,42.8,79,100,19.22
227,Guozhen,CN,2020-04-16 04:10:35,34.37,107.36,73.13,17,59,7.0
228,Verkhoyansk,RU,2020-04-16 04:10:35,67.54,133.38,5.65,86,100,14.61
229,Praia,CV,2020-04-16 04:10:35,14.92,-23.51,69.8,73,20,13.87
230,Shasta Lake,US,2020-04-16 04:10:36,40.68,-122.37,69.8,46,1,8.05
231,Vao,NC,2020-04-16 04:06:07,-22.67,167.48,74.86,73,17,13.8
232,Gimli,CA,2020-04-16 04:10:36,50.63,-96.99,26.01,67,95,7.36
233,Morro Bay,US,2020-04-16 04:10:36,35.37,-120.85,63.0,71,1,11.41
234,Sanmenxia,CN,2020-04-16 04:10:37,34.77,111.18,70.54,18,55,16.58
235,Alice Springs,AU,2020-04-16 04:10:37,-23.7,133.88,96.8,10,8,9.17
236,Cookeville,US,2020-04-16 04:10:37,36.16,-85.5,39.99,93,1,1.92
237,Petlawad,IN,2020-04-16 04:10:37,23.0,74.8,92.52,13,0,10.27
238,Saskylakh,RU,2020-04-16 04:10:37,71.92,114.08,0.72,92,100,6.69
239,Saint Anthony,US,2020-04-16 04:10:38,45.02,-93.22,30.2,54,1,5.82
240,Guangyuan,CN,2020-04-16 04:10:38,32.44,105.82,75.99,51,5,3.51
241,Nicoya,CR,2020-04-16 04:10:38,10.15,-85.45,71.01,86,79,21.0
242,Brae,GB,2020-04-16 04:10:38,60.4,-1.35,44.6,68,96,8.05
243,Faanui,PF,2020-04-16 04:10:38,-16.48,-151.75,83.46,65,98,5.26
244,Mount Gambier,AU,2020-04-16 04:10:39,-37.83,140.77,64.4,55,75,18.34
245,Sumbe,AO,2020-04-16 04:10:39,-11.21,13.84,77.07,87,91,1.99
246,Saint-Prosper,CA,2020-04-16 04:10:39,46.21,-70.48,27.0,46,31,1.99
247,Clyde River,CA,2020-04-16 04:10:39,70.47,-68.59,5.0,84,90,24.16
248,Lavrentiya,RU,2020-04-16 04:10:40,65.58,-171.0,29.59,96,87,7.0
249,Spornoye,RU,2020-04-16 04:10:40,50.84,37.29,37.4,74,75,13.42
250,Omsukchan,RU,2020-04-16 04:10:40,62.53,155.8,20.01,85,76,2.66
251,Bajil,YE,2020-04-16 04:10:40,15.06,43.29,78.75,73,88,5.1
252,Sola,VU,2020-04-16 04:10:40,-13.88,167.55,86.0,79,90,14.99
253,Inirida,CO,2020-04-16 04:10:41,3.87,-67.92,76.15,65,16,0.94
254,Tura,IN,2020-04-16 04:10:41,25.52,90.22,81.55,48,0,6.35
255,Mar Del Plata,AR,2020-04-16 04:10:41,-38.0,-57.56,50.0,87,0,3.36
256,Cap-Aux-Meules,CA,2020-04-16 04:06:01,47.38,-61.86,30.88,98,33,6.73
257,Vanimo,PG,2020-04-16 04:10:42,-2.67,141.3,84.56,72,91,1.92
258,Talnakh,RU,2020-04-16 04:10:42,69.49,88.4,17.6,57,0,11.18
259,Bury,GB,2020-04-16 04:10:42,53.6,-2.3,48.0,75,62,2.24
260,Kloulklubed,PW,2020-04-16 04:10:42,7.04,134.26,87.8,70,75,11.41
261,Plaster Rock,CA,2020-04-16 04:10:42,46.91,-67.39,30.2,68,40,5.82
262,Vyartsilya,RU,2020-04-16 04:10:43,62.18,30.69,29.84,94,0,0.83
263,Haines Junction,CA,2020-04-16 04:10:43,60.75,-137.51,42.21,66,100,7.11
264,Georgetown,MY,2020-04-16 04:10:43,5.41,100.34,87.8,79,20,3.36
